                  X               Y    Z
---------------------------------------------
                0.0             0.0  0.0
       -0.170817385    0.5663670229  0.0
      -0.3377117624    1.1352470199  0.0
      -0.5006537158     1.706614589  0.0
      -0.6596139161    2.2804440485  0.0
      -0.8145631237    2.8567094364  0.0
      -0.9654721901    3.4353845099  0.0
      -1.1123120603    4.0164427446  0.0
      -1.2550537743     4.599857334  0.0
      -1.3936684693    5.1856011889  0.0
      -1.5281273819    5.7736469367  0.0
      -1.6584018498    6.3639669209  0.0
      -1.7844633139    6.9565332004  0.0
      -1.9062833206    7.5513175489  0.0
      -2.0238335236    8.1482914544  0.0
      -2.1370856861    8.7474261187  0.0
      -2.2460116828    9.3486924565  0.0
      -2.3505835022    9.9520610951  0.0
      -2.4507732488   10.5575023737  0.0
      -2.5465531447   11.1649863429  0.0
      -2.6378955325   11.7744827643  0.0
      -2.7247728771   12.3859611093  0.0
       -2.807157768   12.9993905596  0.0
      -2.8850229214   13.6147400056  0.0
      -2.9583411826   14.2319780466  0.0
      -3.0270855284     14.85107299  0.0
      -3.0912290689   15.4719928507  0.0
      -3.1507450504   16.0947053506  0.0
      -3.2056068573   16.7191779185  0.0
      -3.2557880146   17.3453776889  0.0
      -3.3012621903    17.973271502  0.0
      -3.3420031975   18.6028259032  0.0
      -3.3779849975   19.2340071424  0.0
      -3.4091817013   19.8667811737  0.0
      -3.4355675727   20.5011136547  0.0
      -3.4571170306   21.1369699465  0.0
      -3.4738046514   21.7743151128  0.0
      -3.4856051716   22.4131139196  0.0
      -3.4924934902   23.0533308351  0.0
      -3.4944446715   23.6949300287  0.0
      -3.4914339475   24.3378753711  0.0
      -3.4834367203   24.9821304335  0.0
      -3.4704285652   25.6276584876  0.0
       -3.452385233   26.2744225049  0.0
      -3.4292826526   26.9223851567  0.0
       -3.401096934   27.5715088132  0.0
      -3.3678043707   28.2217555438  0.0
      -3.3293814427   28.8730871161  0.0
      -3.2858048189   29.5254649962  0.0
      -3.2370513605    30.178850348  0.0
      -3.1830981229   30.8332040332  0.0
      -3.1239223595   31.4884866105  0.0
      -3.0595015238    32.144658336  0.0
      -2.9898132727   32.8016791625  0.0
      -2.9148354691   33.4595087394  0.0
